number,name,full_name,type,diameter_km
8405,Asbolus,1995GO,CEN,80.85
84522,,2002TC302,2:5,1164.0
84719,,2002VR128,PLU,448.5
84922,,2003VS2,PLU,523.0
86177,,1999RY215,TNO,263.0
87555,,2000QB243,CEN,92.0
88611,Teharonhiawako,2001QT297,CUB,179.25
90377,Sedna,2003VB12,SDO,995.0
90482,Orcus,2004DW,PLU,946.3
90568,,2004GV9,TNO,680.0
95626,,2002GZ32,CEN,233.75
