id,spkid,full_name,pdes,name,neo,pha,diameter,prefix,q,per,class,horizons,begin_time,end_time
a0368158,2368158,3681581998SE53,368158,,N,N,,,3.245789900178879,2908.5272416186986,OMB,DES=+2368158,1998-01-03-20-50-12,2000-01-01-00-00-00
a0368670,2368670,3686702005NU,368670,,N,N,,,3.2361671531040783,2877.291937355147,OMB,DES=+2368670,1998-01-11-16-14-55,2000-01-01-00-00-00
bK10H39X,3593556,2010HX39,2010 HX39,,N,N,,,3.3125982196299084,2320.260693318668,OMB,DES=+3593556,1998-05-30-22-26-10,2000-01-01-00-00-00
bK10N82Y,3595046,2010NY82,2010 NY82,,N,N,,,3.382950045044946,2320.45907599592,OMB,DES=+3595046,1998-05-30-21-14-44,2000-01-01-00-00-00
bK10N26E,3537096,2010NE26,2010 NE26,,N,N,,,3.0787177729302764,2876.177324282372,OMB,DES=+3537096,1998-01-11-22-56-10,2000-01-01-00-00-00
bK10A99U,3526002,2010AU99,2010 AU99,,N,N,,,3.3100705786057585,2869.607216552019,OMB,DES=+3526002,1998-01-13-14-21-25,2000-01-01-00-00-00
a0298420,2298420,2984202003SO361,298420,,N,N,,,3.56923503706349,2867.626577897476,OMB,DES=+2298420,1998-01-14-02-14-26,2000-01-01-00-00-00
bK05UJ1N,3305637,2005UN191,2005 UN191,,N,N,,,3.101723499140545,2272.440478711179,OMB,DES=+3305637,1998-06-11-21-21-26,2000-01-01-00-00-00
a0497381,2497381,4973812005UU435,497381,,N,N,,,3.363523455513569,2309.196923594922,OMB,DES=+2497381,1998-06-02-16-49-07,2000-01-01-00-00-00
a0408602,2408602,4086022013NN1,408602,,N,N,,,3.21057716086724,2896.9836498765035,OMB,DES=+2408602,1998-01-06-18-05-54,2000-01-01-00-00-00
a0324794,2324794,3247942007HZ15,324794,,N,N,,,3.0188631333017715,2111.567094974422,OMB,DES=+2324794,1998-07-22-02-35-51,2000-01-01-00-00-00
bK10G18M,3593245,2010GM18,2010 GM18,,N,N,,,3.371972833355433,2728.356701639581,OMB,DES=+3593245,1998-02-17-21-51-36,2000-01-01-00-00-00
bK11F17B,3668415,2011FB17,2011 FB17,,N,N,,,3.2831653964138234,2835.145998179798,OMB,DES=+3668415,1998-01-22-05-07-27,2000-01-01-00-00-00
a0365654,2365654,3656542010VY26,365654,,N,N,,,3.1199158067272963,2091.431358650133,OMB,DES=+2365654,1998-07-27-03-24-43,2000-01-01-00-00-00
a0099092,2099092,990922001FR37,99092,,N,N,,,3.129302861819085,2124.3443796002757,OMB,DES=+2099092,1998-07-18-21-56-02,2000-01-01-00-00-00
a0116280,2116280,1162802003YH47,116280,,N,N,,,3.38052553209776,2885.209484731836,OMB,DES=+2116280,1998-01-09-16-44-36,2000-01-01-00-00-00
a0182901,2182901,1829012002EG26,182901,,N,N,,,3.1460320871971885,2120.953392514884,OMB,DES=+2182901,1998-07-19-18-16-47,2000-01-01-00-00-00
bK17BC9J,3768894,2017BJ129,2017 BJ129,,N,N,,,3.1366832117355816,2333.218256553535,OMB,DES=+3768894,1998-05-27-16-41-26,2000-01-01-00-00-00
bK14P30X,3682391,2014PX30,2014 PX30,,N,N,,,3.1010642229254515,2875.9332182507646,OMB,DES=+3682391,1998-01-12-00-24-03,2000-01-01-00-00-00
bK14P73X,3801300,2014PX73,2014 PX73,,N,N,,,3.0949799967916363,2232.0836980833333,OMB,DES=+3801300,1998-06-21-23-29-53,2000-01-01-00-00-00
a0110104,2110104,1101042001SS129,110104,,N,N,,,3.0622809212822766,2121.217376677271,OMB,DES=+2110104,1998-07-19-16-41-45,2000-01-01-00-00-00
a0212925,2212925,2129252008AL31,212925,,N,N,,,3.082399396835307,2104.102834358453,OMB,DES=+2212925,1998-07-23-23-22-59,2000-01-01-00-00-00
a0514304,2514304,5143042015TU284,514304,,N,N,,,3.528698094141102,2561.041261304887,OMB,DES=+2514304,1998-03-31-17-45-09,2000-01-01-00-00-00
a0450841,2450841,4508412007VY264,450841,,N,N,,,3.250083129353849,2932.364250791596,OMB,DES=+2450841,1997-12-28-21-48-53,2000-01-01-00-00-00
a0159356,2159356,1593562007ES180,159356,,N,N,,,3.045244790696,2116.077393392174,OMB,DES=+2159356,1998-07-20-23-32-09,2000-01-01-00-00-00
bK15AH3S,3710981,2015AS173,2015 AS173,,N,N,,,3.143868377410833,2114.043397928978,OMB,DES=+3710981,1998-07-21-11-44-23,2000-01-01-00-00-00
bK14H70R,3669321,2014HR70,2014 HR70,,N,N,,,3.1887402465413683,2103.467456662024,OMB,DES=+3669321,1998-07-24-03-11-43,2000-01-01-00-00-00
a0352635,2352635,3526352008GK88,352635,,N,N,,,3.225921145907864,2275.630810698891,OMB,DES=+2352635,1998-06-11-02-12-55,2000-01-01-00-00-00
a0311549,2311549,3115492006AQ13,311549,,N,N,,,3.082195363474806,2137.968765577193,OMB,DES=+2311549,1998-07-15-12-11-15,2000-01-01-00-00-00
