id,spkid,full_name,pdes,name,neo,pha,diameter,prefix,q,per,class,horizons,begin_time,end_time
a0231700,2231700,2317001998SU12,231700,,N,N,,,1.622548143,1291.762277,MCA,DES=+2231700,1999-02-12-01-25-34,2000-01-01-00-00-00
bK18X00G,3836708,2018XG,2018 XG,,Y,N,,,0.916307291,813.3901662,APO,DES=+3836708,1999-06-11-15-39-32,2000-01-01-00-00-00
a0119954,2119954,1199542002NR24,119954,,N,N,,,1.814155014,963.1903661,IMB,DES=+2119954,1999-05-05-04-51-28,2000-01-01-00-00-00
bK00Y29G,3065184,2000YG29,2000 YG29,,Y,Y,,,0.984977131,2083.503006,APO,DES=+3065184,1998-07-29-02-58-56,2000-01-01-00-00-00
bK11G59P,3562830,2011GP59,2011 GP59,,Y,N,,,0.645105214,295.8729658,ATE,DES=+3562830,1999-10-19-00-45-43,2000-01-01-00-00-00
bK14C14J,3661518,2014CJ14,2014 CJ14,,Y,N,,,1.152072712,653.4128273,AMO,DES=+3661518,1999-07-21-15-31-22,2000-01-01-00-00-00
bK18S01S,3830870,2018SS1,2018 SS1,,Y,N,,,1.012025505,681.2089661,APO,DES=+3830870,1999-07-14-16-44-46,2000-01-01-00-00-00
bK12Q17M,3609028,2012QM17,2012 QM17,,N,N,,,1.337587863,1723.738813,MCA,DES=+3609028,1998-10-27-01-34-02,2000-01-01-00-00-00
a0310429,2310429,3104291999XP19,310429,,N,N,,,1.403194567,1406.53953,MCA,DES=+2310429,1999-01-14-08-45-46,2000-01-01-00-00-00
bK19G06A,3840892,2019GA6,2019 GA6,,Y,N,,,0.849335977,549.734498,APO,DES=+3840892,1999-08-16-13-35-34,2000-01-01-00-00-00
a0183581,2183581,1835812003SY84,183581,,N,N,,,1.516021376,1515.005796,MCA,DES=+2183581,1998-12-18-05-57-55,2000-01-01-00-00-00
a0240292,2240292,2402922003EB54,240292,,N,N,,,1.630898385,1302.038186,MCA,DES=+2240292,1999-02-09-11-46-15,2000-01-01-00-00-00
bK13TF6S,3665108,2013TS156,2013 TS156,,N,N,,,1.58534502,1228.621737,MCA,DES=+3665108,1999-02-27-20-16-10,2000-01-01-00-00-00
a0192952,2192952,1929522000BZ18,192952,,N,N,,,1.547444013,1202.517321,MCA,DES=+2192952,1999-03-06-08-53-45,2000-01-01-00-00-00
a0264993,2264993,2649932003DX10,264993,,Y,Y,,,0.810357168,589.1838819,APO,DES=+2264993,1999-08-06-16-53-48,2000-01-01-00-00-00
a0486716,2486716,4867162014BD43,486716,,N,N,,,1.854908681,1008.994586,IMB,DES=+2486716,1999-04-23-18-01-56,2000-01-01-00-00-00
bK17T06H,3786447,2017TH6,2017 TH6,,Y,Y,,,0.897393739,867.7890586,APO,DES=+3786447,1999-05-29-01-15-56,2000-01-01-00-00-00
a0222506,2222506,2225062001TN13,222506,,N,N,,,1.747171139,970.5620861,IMB,DES=+2222506,1999-05-03-08-37-38,2000-01-01-00-00-00
a0179224,2179224,1792242001UG1,179224,,N,N,,,1.75606731,1001.900446,IMB,DES=+2179224,1999-04-25-12-35-50,2000-01-01-00-00-00
bK18G00Y,3802409,2018GY,2018 GY,,Y,N,,,0.455827653,245.2439806,ATE,DES=+3802409,1999-10-31-16-32-10,2000-01-01-00-00-00
bK13C88A,3626689,2013CA88,2013 CA88,,Y,N,,,1.03828165,647.4542733,AMO,DES=+3626689,1999-07-23-03-16-27,2000-01-01-00-00-00
bK13A76U,3624134,2013AU76,2013 AU76,,Y,N,,,0.819439412,1705.090728,APO,DES=+3624134,1998-10-31-17-27-21,2000-01-01-00-00-00
a0395339,2395339,3953392011QS33,395339,,N,N,,,1.648134113,1258.262391,MCA,DES=+2395339,1999-02-20-10-25-32,2000-01-01-00-00-00
bK15Q03K,3726508,2015QK3,2015 QK3,,N,N,,,1.382186214,1620.786789,MCA,DES=+3726508,1998-11-21-19-16-46,2000-01-01-00-00-00
a0507534,2507534,5075342012WL28,507534,,N,N,,,1.735180354,929.6867697,IMB,DES=+2507534,1999-05-13-13-52-45,2000-01-01-00-00-00
bK15L24K,3721220,2015LK24,2015 LK24,,Y,Y,,,1.019650376,1593.500351,AMO,DES=+3721220,1998-11-28-14-59-53,2000-01-01-00-00-00
a0446955,2446955,4469552003SC11,446955,,Y,N,,,1.02137813,630.1295392,AMO,DES=+2446955,1999-07-27-11-13-21,2000-01-01-00-00-00
