id,spkid,full_name,pdes,name,neo,pha,diameter,prefix,q,per,class,horizons,begin_time,end_time
a0033759,2033759,337591999RR57,33759,,N,N,11.753,,2.9152628149011464,2066.504229036398,MBA,DES=+2033759,1998-08-02-08-58-29,2000-01-01-00-00-00
a0033764,2033764,337641999RM92,33764,,N,N,11.725999999999999,,2.8892908793670777,2104.6860540374696,OMB,DES=+2033764,1998-07-23-19-53-02,2000-01-01-00-00-00
a0033766,2033766,337661999RT100,33766,,N,N,13.697000000000001,,2.664624610231022,2107.569996553576,OMB,DES=+2033766,1998-07-23-02-34-49,2000-01-01-00-00-00
a0033769,2033769,337691999RN112,33769,,N,N,10.167,,2.459811523153787,1552.622568077913,MBA,DES=+2033769,1998-12-08-20-15-53,2000-01-01-00-00-00
a0033770,2033770,337701999RF128,33770,,N,N,10.199,,2.7824416810271,1958.7985357389398,MBA,DES=+2033770,1998-08-29-07-12-32,2000-01-01-00-00-00
a0033771,2033771,337711999RJ142,33771,,N,N,10.864,,2.9096704578680015,2071.727823057761,MBA,DES=+2033771,1998-08-01-01-38-00,2000-01-01-00-00-00
a0033775,2033775,337751999RZ151,33775,,N,N,10.447000000000001,,2.86607284919052,2025.695587694468,MBA,DES=+2033775,1998-08-12-13-49-36,2000-01-01-00-00-00
a0033776,2033776,337761999RB158,33776,,N,N,18.3,,2.848156354562136,2059.537133400409,MBA,DES=+2033776,1998-08-04-02-46-38,2000-01-01-00-00-00
a0033777,2033777,337771999RM158,33777,,N,N,12.409,,2.811338737123581,2041.6267112925602,MBA,DES=+2033777,1998-08-08-14-14-24,2000-01-01-00-00-00
a0033779,2033779,337791999RG165,33779,,N,N,10.218,,2.6776526584797584,2010.159618782659,MBA,DES=+2033779,1998-08-16-11-02-33,2000-01-01-00-00-00
a0033781,2033781,337811999RP174,33781,,N,N,10.545,,2.655341017535766,1931.1663602758358,MBA,DES=+2033781,1998-09-05-05-00-07,2000-01-01-00-00-00
a0033793,2033793,337931999SO26,33793,,N,N,12.857999999999999,,2.9102038445334215,2110.686968987579,OMB,DES=+2033793,1998-07-22-07-52-42,2000-01-01-00-00-00
a0033794,2033794,337941999TR2,33794,,N,N,19.605,,2.992976795462526,2049.993915161004,MBA,DES=+2033794,1998-08-06-12-02-12,2000-01-01-00-00-00
a0033796,2033796,337961999TP37,33796,,N,N,14.075999999999999,,2.9059249922090147,2127.743760886058,OMB,DES=+2033796,1998-07-18-01-32-15,2000-01-01-00-00-00
a0033802,2033802,338021999VA203,33802,,N,N,13.169,,2.752854995329771,1884.8033800914307,MBA,DES=+2033802,1998-09-16-19-10-47,2000-01-01-00-00-00
a0033812,2033812,338121999XS173,33812,,N,N,11.904000000000002,,1.8790562254001768,1496.504147523464,MBA,DES=+2033812,1998-12-22-20-58-31,2000-01-01-00-00-00
a0033818,2033818,338182000AK97,33818,,N,N,15.292,,2.9095248944846563,2051.7664951937572,MBA,DES=+2033818,1998-08-06-01-24-04,2000-01-01-00-00-00
a0033830,2033830,338302000EC93,33830,,N,N,17.67,,2.9555203939202634,2125.122229028579,OMB,DES=+2033830,1998-07-18-17-16-00,2000-01-01-00-00-00
a0033858,2033858,338582000HG78,33858,,N,N,11.706,,2.8291862884830383,1993.2701902967608,MBA,DES=+2033858,1998-08-20-16-22-44,2000-01-01-00-00-00
a0033894,2033894,338942000KM30,33894,,N,N,12.862,,2.6268500538542843,2035.867309836402,MBA,DES=+2033894,1998-08-10-00-47-47,2000-01-01-00-00-00
a0033903,2033903,339032000KH68,33903,,N,N,18.302,,1.8953987251461861,1675.0735903310958,MBA,DES=+2033903,1998-11-08-05-33-31,2000-01-01-00-00-00
a0033909,2033909,339092000LU7,33909,,N,N,10.324000000000002,,2.0619619338678663,1689.259193169742,MBA,DES=+2033909,1998-11-04-16-26-42,2000-01-01-00-00-00
a0033921,2033921,339212000LC21,33921,,N,N,12.633,,2.838270382115309,2030.4697247326944,MBA,DES=+2033921,1998-08-11-09-10-54,2000-01-01-00-00-00
a0033935,2033935,339352000LH30,33935,,N,N,10.492,,2.8961940853227435,2268.949980441529,OMB,DES=+2033935,1998-06-12-18-18-01,2000-01-01-00-00-00
a0034062,2034062,340622000OD48,34062,,N,N,10.265999999999998,,2.339858596831543,1972.078648116229,MBA,DES=+2034062,1998-08-25-23-31-42,2000-01-01-00-00-00
a0034064,2034064,340642000OK51,34064,,N,N,10.915999999999999,,2.1977905189346267,1972.63585396434,MBA,DES=+2034064,1998-08-25-20-11-06,2000-01-01-00-00-00
a0034116,2034116,341162000PW26,34116,,N,N,14.106,,2.9432928380813532,1912.682820057057,MBA,DES=+2034116,1998-09-09-19-54-12,2000-01-01-00-00-00
a0034119,2034119,341192000PY27,34119,,N,N,19.88,,2.698349454149018,2067.14404852174,MBA,DES=+2034119,1998-08-02-05-08-09,2000-01-01-00-00-00
a0034123,2034123,34123Uedayukika2000QD,34123,Uedayukika,N,N,12.825,,2.232564000451395,1717.8012762108428,MBA,DES=+2034123,1998-10-28-13-11-33,2000-01-01-00-00-00
a0034210,2034210,342102000QV67,34210,,N,N,15.343,,2.495004598802888,2025.174237231047,MBA,DES=+2034210,1998-08-12-16-57-17,2000-01-01-00-00-00
a0034216,2034216,342162000QK75,34216,,N,N,11.815,,2.623822347315411,1860.7297561362686,MBA,DES=+2034216,1998-09-22-19-37-18,2000-01-01-00-00-00
a0034228,2034228,342282000QF90,34228,,N,N,10.442,,2.4862092269320097,2047.546520682244,MBA,DES=+2034228,1998-08-07-02-43-16,2000-01-01-00-00-00
a0034230,2034230,342302000QF93,34230,,N,N,13.484000000000002,,2.644911139927892,2009.502220477288,MBA,DES=+2034230,1998-08-16-14-59-13,2000-01-01-00-00-00
a0034260,2034260,342602000QG120,34260,,N,N,10.095,,2.647499037533886,2082.754049764121,MBA,DES=+2034260,1998-07-29-07-28-33,2000-01-01-00-00-00
a0034291,2034291,342912000QS150,34291,,N,N,12.283,,2.7136179116601307,1903.606176403799,MBA,DES=+2034291,1998-09-12-02-21-47,2000-01-01-00-00-00
a0034309,2034309,343092000QY186,34309,,N,N,11.564,,2.433713976161636,2112.5699957774677,OMB,DES=+2034309,1998-07-21-20-34-49,2000-01-01-00-00-00
a0034339,2034339,343392000QH218,34339,,N,N,11.044,,2.492728676841149,2034.4005947257501,MBA,DES=+2034339,1998-08-10-09-35-48,2000-01-01-00-00-00
a0034349,2034349,343492000RQ7,34349,,N,N,10.357999999999999,,2.7214867441661745,1978.346797271802,MBA,DES=+2034349,1998-08-24-09-55-10,2000-01-01-00-00-00
a0034368,2034368,343682000RA41,34368,,N,N,13.870999999999999,,3.0872027708792205,2121.146522201563,OMB,DES=+2034368,1998-07-19-17-07-16,2000-01-01-00-00-00
a0034371,2034371,343712000RC43,34371,,N,N,13.795,,2.5225673345599637,1999.398825939481,MBA,DES=+2034371,1998-08-19-03-36-26,2000-01-01-00-00-00
a0034386,2034386,343862000RP62,34386,,N,N,11.288,,2.1943224920510533,1672.098786300752,MBA,DES=+2034386,1998-11-08-23-24-27,2000-01-01-00-00-00
a0034411,2034411,344112000RR96,34411,,N,N,13.162,,3.1424150665853054,2373.56060477414,OMB,DES=+2034411,1998-05-17-14-38-11,2000-01-01-00-00-00
a0034426,2034426,344262000SS22,34426,,N,N,10.096,,2.754447379020331,2031.7114381013864,MBA,DES=+2034426,1998-08-11-01-43-53,2000-01-01-00-00-00
a0034428,2034428,344282000SA27,34428,,N,N,10.312000000000001,,3.006918725619747,2125.11856620032,OMB,DES=+2034428,1998-07-18-17-17-19,2000-01-01-00-00-00
a0034439,2034439,344392000SG45,34439,,N,N,13.890999999999998,,2.949558737817625,1916.9532284466181,MBA,DES=+2034439,1998-09-08-18-16-51,2000-01-01-00-00-00
a0034440,2034440,344402000SV46,34440,,N,N,17.335,,2.5284371099788188,2031.324285580206,MBA,DES=+2034440,1998-08-11-04-03-16,2000-01-01-00-00-00
a0034455,2034455,344552000SW87,34455,,N,N,10.954,,2.9057496666443616,2110.469263748826,OMB,DES=+2034455,1998-07-22-09-11-04,2000-01-01-00-00-00
a0034460,2034460,344602000SV91,34460,,N,N,10.193999999999999,,2.7746798805834705,2092.255943164233,OMB,DES=+2034460,1998-07-26-22-27-52,2000-01-01-00-00-00
