id,spkid,full_name,pdes,name,neo,pha,diameter,prefix,q,per,class
dI92W010,1000922,C/1892W1Brooks,1892 W1,Brooks,,,,C,1.195108,,PAR
dI93N010,1000923,C/1893N1RordameQuenisset,1893 N1,Rordame-Quenisset,,,,C,0.674549,,COM
dI93U010,1000924,C/1893U1Brooks,1893 U1,Brooks,,,,C,0.811991,,COM
dI94F010,1000925,D/1894F1Denning,1894 F1,Denning,Y,,,D,1.147,2702.85,JFc
dI94G010,1000926,C/1894G1Gale,1894 G1,Gale,,,,C,0.983032,349909.5,COM
dI95Q010,1000927,D/1895Q1Swift,1895 Q1,Swift,Y,,,D,1.297763,2629.8,JFc
dI95W010,1000928,C/1895W1Perrine,1895 W1,Perrine,,,,C,0.1919769668034313,,HYP
dI95W020,1000929,C/1895W2Brooks,1895 W2,Brooks,,,,C,0.8430340000000001,,PAR
dI96C010,1000930,C/1896C1PerrineLamp,1896 C1,Perrine-Lamp,,,,C,0.5873336975313413,,PAR
dI96G010,1000931,C/1896G1Swift,1896 G1,Swift,,,,C,0.566286,,HYP
dI96R010,1000932,C/1896R1Sperra,1896 R1,Sperra,,,,C,1.142895,,PAR
dI96V010,1000934,C/1896V1Perrine,1896 V1,Perrine,,,,C,1.062791,,HYP
dI97U010,1000935,C/1897U1Perrine,1897 U1,Perrine,,,,C,1.3566790000000002,,PAR
dI98F010,1000936,C/1898F1Perrine,1898 F1,Perrine,,,,C,1.095261,153039.75,COM
dI98L010,1000937,C/1898L1CoddingtonPauly,1898 L1,Coddington-Pauly,,,,C,1.701595,,HYP
dI98L020,1000938,C/1898L2Perrine,1898 L2,Perrine,,,,C,0.626438,,PAR
dI98M010,1000939,C/1898M1Giacobini,1898 M1,Giacobini,,,,C,1.501318,,PAR
dI98R010,1000940,C/1898R1PerrineChofardet,1898 R1,Perrine-Chofardet,,,,C,0.42037299999999994,,PAR
dI98U010,1000941,C/1898U1Brooks,1898 U1,Brooks,,,,C,0.756011,,PAR
dI98V010,1000942,C/1898V1Chase,1898 V1,Chase,,,,C,2.284591,,COM
dI99E010,1000570,C/1899E1Swift,1899 E1,Swift,,,,C,0.3265682237098704,,HYP
dI99S010,1000943,C/1899S1Giacobini,1899 S1,Giacobini,,,,C,1.785838,,PAR
dJ00B010,1000944,C/1900B1Giacobini,1900 B1,Giacobini,,,,C,1.3315290000000002,,HYP
dJ00O010,1000571,C/1900O1BorrellyBrooks,1900 O1,Borrelly-Brooks,,,,C,1.014833853080969,,HYP
dJ01G010,1000945,C/1901G1Greatcomet,1901 G1,Great comet,,,,C,0.244812,,PAR
dJ02G010,1000946,C/1902G1Brooks,1902 G1,Brooks,,,,C,0.44392,,PAR
dJ02R010,1000947,C/1902R1Perrine,1902 R1,Perrine,,,,C,0.401074,,COM
dJ02X010,1000948,C/1902X1Giacobini,1902 X1,Giacobini,,,,C,2.773525,,HYP
dJ03A010,1000949,C/1903A1Giacobini,1903 A1,Giacobini,,,,C,0.41056099999999995,,COM
dJ03H010,1000950,C/1903H1Grigg,1903 H1,Grigg,,,,C,0.49942,,PAR
dJ03M010,1000951,C/1903M1Borrelly,1903 M1,Borrelly,,,,C,0.33018200000000003,,HYP
dJ04H010,1000952,C/1904H1Brooks,1904 H1,Brooks,,,,C,2.707618486393426,,HYP
dJ04Y010,1000953,C/1904Y1Giacobini,1904 Y1,Giacobini,,,,C,1.882049,,HYP
dJ05F010,1000954,C/1905F1Giacobini,1905 F1,Giacobini,,,,C,1.1147492672600248,80211.17955989022,COM
dJ05W010,1000955,C/1905W1Schaer,1905 W1,Schaer,,,,C,1.0522126593802341,,PAR
dJ05X010,1000956,C/1905X1Giacobini,1905 X1,Giacobini,,,,C,0.215900195671673,,PAR
dJ06B010,1000957,C/1906B1Brooks,1906 B1,Brooks,,,,C,1.296091954987723,30882694.84958835,COM
dJ06E010,1000958,C/1906E1Kopff,1906 E1,Kopff,,,,C,3.341992705462622,,HYP
dJ06F010,1000959,C/1906F1Ross,1906 F1,Ross,,,,C,0.722913,,PAR
dJ06V010,1000960,C/1906V1Thiele,1906 V1,Thiele,,,,C,1.2121829893777658,154966.0129074348,COM
dJ07E010,1000961,C/1907E1Giacobini,1907 E1,Giacobini,,,,C,2.051705,,HYP
dJ07G010,1000962,C/1907G1GriggMellish,1907 G1,Grigg-Mellish,,,,C,0.923861,,PAR
dJ07L020,1000963,C/1907L2Daniel,1907 L2,Daniel,,,,C,0.5121696128850228,3007927.4913020614,COM
dJ07T010,1000964,C/1907T1Mellish,1907 T1,Mellish,,,,C,0.9829430493630104,,PAR
dJ08R010,1000965,C/1908R1Morehouse,1908 R1,Morehouse,,,,C,0.9452635079285148,,HYP
